property_id,price,property_subtype,province,locality_name,postal_code,latitude,longitude,living_area,surface_of_good,number_of_facades,kitchen_type,furnished,open_fire,terrace,terrace_area,garden,garden_area,swimming_pool,state_of_building
64366000,1800000.0,APARTMENT,Brussels,Brussels,1040,50.8393165,4.4006749,720.0,,2.0,MISSING,0,0,1,79.0,0,0.0,0,TO_RENOVATE
44778000,409000.0,APARTMENT,East Flanders,Gent,9040,51.0656794,3.755662,105.0,,4.0,USA_HYPER_EQUIPPED,0,0,1,19.0,0,0.0,0,AS_NEW
29501000,1595000.0,APARTMENT,Brussels,Brussels,1000,,,306.0,,3.0,MISSING,0,1,1,36.0,0,0.0,0,MISSING
9379000,139000.0,FLAT_STUDIO,Brussels,Brussels,1000,,,45.0,,2.0,INSTALLED,0,0,0,0.0,0,0.0,0,MISSING
59398000,202000.0,APARTMENT,Hainaut,Mons,7000,50.46155,3.9949,79.0,,,MISSING,0,0,1,8.0,0,0.0,0,MISSING
1707000,286500.0,APARTMENT,Limburg,Maaseik,3900,51.2128909,5.4196436,95.0,,,USA_HYPER_EQUIPPED,0,0,1,11.0,0,0.0,0,AS_NEW
77314000,335000.0,PENTHOUSE,West Flanders,Kortrijk,8500,,,112.0,,3.0,MISSING,0,0,0,0.0,1,9.0,0,GOOD
28060000,675000.0,APARTMENT,West Flanders,Veurne,8620,51.1501772,2.7206796,84.0,,,MISSING,0,0,0,0.0,0,0.0,0,MISSING
42712000,550500.0,PENTHOUSE,East Flanders,Gent,9040,51.0656794,3.755662,108.0,,,HYPER_EQUIPPED,0,0,1,52.0,0,0.0,0,MISSING
38346000,255000.0,APARTMENT,Antwerp,Antwerp,2000,51.2107107,4.3952005,51.0,,2.0,MISSING,1,0,0,0.0,0,0.0,0,GOOD
51506000,160000.0,APARTMENT,Antwerp,Antwerp,2100,51.2350655,4.4555023,,,,INSTALLED,0,1,1,3.0,0,0.0,0,JUST_RENOVATED
63187000,170000.0,APARTMENT,Brussels,Brussels,1030,,,65.0,,2.0,NOT_INSTALLED,0,0,0,0.0,0,0.0,0,MISSING
76051000,279000.0,APARTMENT,Brussels,Brussels,1082,50.8668153,4.2878786,,,,MISSING,0,0,0,0.0,0,0.0,0,TO_RESTORE
2675000,301160.0,APARTMENT,Antwerp,Turnhout,2230,51.0512266,4.8813545,93.0,,2.0,HYPER_EQUIPPED,0,0,1,22.0,0,0.0,0,AS_NEW
15899000,265000.0,APARTMENT,West Flanders,Veurne,8660,51.1012529,2.592323,128.0,,3.0,MISSING,0,0,0,0.0,0,0.0,0,TO_RENOVATE
60551000,268700.0,GROUND_FLOOR,East Flanders,Gent,9890,50.9284071,3.679605,76.0,,4.0,HYPER_EQUIPPED,0,0,1,11.0,0,0.0,0,AS_NEW
50673000,399500.0,APARTMENT,West Flanders,Kortrijk,8570,50.8330349,3.4785392,,,,MISSING,0,0,0,0.0,0,0.0,0,MISSING
27364000,314700.0,APARTMENT,Brussels,Brussels,1120,50.8884803,4.3789931,95.0,,2.0,MISSING,0,0,1,28.0,0,0.0,0,GOOD
66416000,175000.0,APARTMENT,Antwerp,Antwerp,2610,51.1724984,4.3909956,69.0,,,MISSING,0,0,0,0.0,0,0.0,0,MISSING
55261000,195000.0,APARTMENT,Brussels,Brussels,1080,,,100.0,,2.0,INSTALLED,0,0,1,,0,0.0,0,TO_BE_DONE_UP
34848000,165000.0,APARTMENT,Liège,Liège,4020,50.6334399,5.5780638,75.0,,2.0,INSTALLED,1,0,1,5.0,0,0.0,0,GOOD
39822000,149000.0,APARTMENT,West Flanders,Oostend,8400,51.2197727,2.8899169,40.0,,,MISSING,0,0,1,,0,0.0,0,JUST_RENOVATED
32422000,465000.0,APARTMENT,West Flanders,Kortrijk,8500,50.8313106,3.2665135,110.0,,,HYPER_EQUIPPED,0,0,1,9.0,0,0.0,0,GOOD
21845000,465000.0,LOFT,West Flanders,Kortrijk,8500,50.8327085,3.2820054,180.0,,2.0,INSTALLED,0,1,0,0.0,0,0.0,0,GOOD
8905000,208890.0,APARTMENT,Antwerp,Turnhout,2381,51.4102741,5.0044991,79.0,,,MISSING,0,0,1,11.0,0,0.0,0,AS_NEW
23677000,200000.0,APARTMENT,Flemish Brabant,Halle-Vilvoorde,1853,50.8972679,4.3582324,81.0,,2.0,INSTALLED,0,0,1,2.0,0,0.0,0,AS_NEW
65362000,288500.0,APARTMENT,Limburg,Hasselt,3800,50.8045184,5.2187704,104.0,,,MISSING,0,0,1,14.0,0,0.0,0,GOOD
14808000,512000.0,LOFT,Brussels,Brussels,1000,50.8415503,4.3416693,188.0,,2.0,USA_HYPER_EQUIPPED,0,1,0,0.0,0,0.0,0,GOOD
